,TIC,sec,ec_long,ec_lat,num_s
305,20856917,91,257.77044063705415,-5.731875691896542,3
306,20856917,115,257.77044063705415,-5.731875691896542,3
307,20856917,116,257.77044063705415,-5.731875691896542,3
308,20898043,2,354.0645796893099,-17.138823376951724,4
309,20898043,29,354.0645796893099,-17.138823376951724,4
310,20898043,69,354.0645796893099,-17.138823376951724,4
311,20898043,107,354.0645796893099,-17.138823376951724,4
312,20881700,56,349.302699992162,31.70152721765666,2
313,20881700,83,349.302699992162,31.70152721765666,2
314,60446208,55,328.69703124889986,31.6850031956119,2
315,60446208,82,328.69703124889986,31.6850031956119,2
316,80226651,44,102.47930071814513,2.533747588699937,4
317,80226651,45,102.47930071814513,2.533747588699937,4
318,80226651,71,102.47930071814513,2.533747588699937,4
319,80226651,72,102.47930071814513,2.533747588699937,4
320,80224448,44,102.4513388661453,1.39533683015403,4
321,80224448,45,102.4513388661453,1.39533683015403,4
322,80224448,71,102.4513388661453,1.39533683015403,4
323,80224448,72,102.4513388661453,1.39533683015403,4
324,60528368,6,98.48548387837727,-42.56955362945719,7
325,60528368,33,98.48548387837727,-42.56955362945719,7
326,60528368,87,98.48548387837727,-42.56955362945719,7
327,60528368,107,98.48548387837727,-42.56955362945719,7
328,60528368,108,98.48548387837727,-42.56955362945719,7
329,60528368,109,98.48548387837727,-42.56955362945719,7
330,60528368,110,98.48548387837727,-42.56955362945719,7
331,60512365,43,75.53098681406736,1.9495236334486785,3
332,60512365,44,75.53098681406736,1.9495236334486785,3
333,60512365,71,75.53098681406736,1.9495236334486785,3
334,80256268,69,344.5143440961566,-41.79442364470947,6
335,80256268,96,344.5143440961566,-41.79442364470947,6
336,80256268,103,344.5143440961566,-41.79442364470947,6
337,80256268,104,344.5143440961566,-41.79442364470947,6
338,80256268,105,344.5143440961566,-41.79442364470947,6
339,80256268,106,344.5143440961566,-41.79442364470947,6
340,80337807,2,347.08264305171804,-41.51674312930537,8
341,80337807,29,347.08264305171804,-41.51674312930537,8
342,80337807,69,347.08264305171804,-41.51674312930537,8
343,80337807,96,347.08264305171804,-41.51674312930537,8
344,80337807,103,347.08264305171804,-41.51674312930537,8
345,80337807,104,347.08264305171804,-41.51674312930537,8
346,80337807,105,347.08264305171804,-41.51674312930537,8
347,80337807,106,347.08264305171804,-41.51674312930537,8
348,80302288,10,195.54869352462262,-51.69165338517667,11
349,80302288,36,195.54869352462262,-51.69165338517667,11
350,80302288,37,195.54869352462262,-51.69165338517667,11
351,80302288,63,195.54869352462262,-51.69165338517667,11
352,80302288,64,195.54869352462262,-51.69165338517667,11
353,80302288,90,195.54869352462262,-51.69165338517667,11
354,80302288,99,195.54869352462262,-51.69165338517667,11
355,80302288,100,195.54869352462262,-51.69165338517667,11
356,80302288,111,195.54869352462262,-51.69165338517667,11
357,80302288,112,195.54869352462262,-51.69165338517667,11
358,80302288,113,195.54869352462262,-51.69165338517667,11
359,80362876,2,345.37213804166413,-44.838388125905176,7
360,80362876,29,345.37213804166413,-44.838388125905176,7
361,80362876,96,345.37213804166413,-44.838388125905176,7
362,80362876,103,345.37213804166413,-44.838388125905176,7
363,80362876,104,345.37213804166413,-44.838388125905176,7
364,80362876,105,345.37213804166413,-44.838388125905176,7
365,80362876,106,345.37213804166413,-44.838388125905176,7
366,1257898,35,145.9362223576348,-31.541085892017648,6
367,1257898,62,145.9362223576348,-31.541085892017648,6
368,1257898,89,145.9362223576348,-31.541085892017648,6
369,1257898,99,145.9362223576348,-31.541085892017648,6
