,TIC,ec_long,ec_lat,num_s,sec
31,20319492,180.5066516185574,-30.645700470163018,4,"[9, 36, 63, 90]"
32,20416870,180.26147604672167,-28.57931910761359,4,"[9, 36, 63, 90]"
33,20420151,125.97460797863563,-4.7089490908852545,5,"[44, 45, 46, 71, 72]"
34,20427136,180.69814515037595,-28.75570971523221,4,"[9, 36, 63, 90]"
35,20402401,85.94068146556597,-4.398791172467952,5,"[43, 44, 45, 71, 72]"
36,40295987,303.2331417915441,52.028694877854484,6,"[14, 40, 41, 54, 74, 81]"
37,40468289,304.2649342805289,53.89799787709466,6,"[14, 40, 41, 54, 74, 75]"
38,842202,278.81840347413134,1.7515016199545597,1,[92]
39,915512,140.03172372301458,-20.991847307232163,4,"[8, 34, 61, 88]"
40,887930,327.0426583985125,3.273087665707158,2,"[42, 92]"
41,20610859,291.5071101030162,55.35952345860046,8,"[14, 26, 40, 53, 54, 74, 80, 81]"
42,20601206,291.2900593796552,55.29096260804385,8,"[14, 26, 40, 53, 54, 74, 80, 81]"
43,40535161,180.45854342861915,-14.212717415297735,4,"[9, 36, 63, 90]"
44,40676045,247.81555976916812,12.065671636942806,1,[91]
45,80080066,321.2362496152348,-18.834715773994446,4,"[1, 28, 68, 95]"
46,1008153,167.22914688906778,-6.289556609206779,4,"[9, 45, 46, 72]"
47,1026619,167.68455840731278,-6.669037174470663,3,"[9, 36, 45]"
48,1038216,136.67688017886218,-29.074289715672727,4,"[8, 34, 61, 88]"
49,1030004,28.18286632083519,-21.688146607404317,1,[4]
50,1031383,28.24486072425462,-22.089697683062305,1,[4]
51,1043986,146.6958775063998,14.157685552242002,2,"[21, 48]"
52,1023759,328.53446176386683,3.641507381022749,2,"[42, 92]"
53,1042770,145.2108155321095,17.302662222150335,2,"[21, 48]"
54,1042868,145.50495981665793,16.738624643514665,2,"[21, 48]"
55,1066957,146.3615752142063,15.704388107412946,2,"[21, 48]"
56,20704462,53.763755637018356,29.35782990717749,3,"[18, 58, 85]"
57,20749811,349.3628807845453,32.936003584651004,2,"[56, 83]"
58,20779517,292.08807065450134,55.430025032805425,7,"[14, 40, 53, 54, 74, 80, 81]"
59,40785206,248.1760293093908,11.243191639679054,1,[91]
60,80080623,322.24443770721825,-16.816723454456632,4,"[1, 28, 68, 95]"
61,60338633,75.01987000510644,2.7857717389214858,3,"[43, 44, 71]"
62,80140747,109.40651157994316,-41.86377807119563,2,"[7, 87]"
63,80144740,197.12050540193476,-53.1304029570175,6,"[10, 36, 37, 63, 64, 90]"
64,1099837,31.358337041531573,-19.301362058243626,2,"[4, 31]"
65,1129777,30.79311563805746,-24.59965865293055,2,"[4, 31]"
66,1218962,62.130626092142215,-55.66452171663231,3,"[5, 31, 32]"
67,20785413,291.1585718026011,52.54527896011915,7,"[14, 40, 53, 54, 74, 80, 81]"
68,20856917,257.77044063705415,-5.731875691896542,1,[91]
69,20898043,354.0645796893099,-17.138823376951724,3,"[2, 29, 69]"
70,20881700,349.302699992162,31.70152721765666,2,"[56, 83]"
71,60446208,328.69703124889986,31.6850031956119,2,"[55, 82]"
72,80226651,102.47930071814513,2.533747588699937,4,"[44, 45, 71, 72]"
73,80224448,102.4513388661453,1.3953368301540299,4,"[44, 45, 71, 72]"
74,60528368,98.48548387837727,-42.56955362945719,3,"[6, 33, 87]"
75,60512365,75.53098681406736,1.9495236334486785,3,"[43, 44, 71]"
76,80256268,344.5143440961566,-41.79442364470947,2,"[69, 96]"
77,80337807,347.08264305171804,-41.51674312930537,4,"[2, 29, 69, 96]"
78,80302288,195.54869352462262,-51.691653385176664,6,"[10, 36, 37, 63, 64, 90]"
79,80362876,345.37213804166413,-44.838388125905176,3,"[2, 29, 96]"
80,1257898,145.93622235763476,-31.541085892017655,3,"[35, 62, 89]"
81,1271818,63.15212716770351,-56.92494768639131,3,"[5, 31, 32]"
82,1261860,142.99754378352586,-41.50606227190533,6,"[8, 34, 61, 62, 88, 89]"
83,1334907,64.57991410331411,-57.39778030693778,3,"[5, 31, 32]"
84,1328422,285.54297290355447,-2.5633290173091936,1,[92]
85,20926643,359.1830194081644,-25.747760239369562,2,"[3, 29]"
86,1309015,64.2311731754263,-56.16528041667392,2,"[5, 32]"
87,20923202,356.8729092402404,-24.718952161312934,2,"[29, 69]"
88,20931913,37.15518263019417,20.039583903258983,3,"[17, 58, 85]"
89,20965412,42.001173212068586,13.937777555518588,3,"[18, 58, 85]"
90,20997718,232.65312942816928,13.149122059897275,1,[51]
91,60595351,335.9051984071854,23.011805729021166,2,"[55, 82]"
92,60658382,142.89534514540517,-22.155377437770756,3,"[8, 35, 61]"
93,80378063,195.9420039513559,-51.826928912837495,6,"[10, 36, 37, 63, 64, 90]"
94,80430415,349.1471986424727,-42.75904091576949,3,"[2, 29, 69]"
95,80431620,345.5283366801186,-46.90746208508287,3,"[2, 29, 96]"
96,80427243,348.19066089704666,-42.846692088866654,3,"[2, 29, 69]"
97,80384789,193.02233309738074,-49.397280522914606,6,"[10, 36, 37, 63, 64, 90]"
98,80474886,349.7044504750607,-43.865514764226376,4,"[2, 29, 69, 96]"
99,80474910,19.48023899582076,18.486048734876157,3,"[17, 57, 84]"
100,80512849,25.37234641197428,19.4027705544278,1,[17]
101,1399933,148.24309172296432,-29.476624401696856,4,"[8, 35, 62, 89]"
102,1521462,157.9382399189389,-27.06215704570674,3,"[8, 35, 62]"
103,21113446,209.55162818013838,-41.37923531156387,2,"[37, 64]"
104,21178283,42.840530320156624,10.893637108106288,8,"[18, 42, 43, 44, 58, 70, 71, 85]"
105,21162252,285.29844240308654,76.42386048285967,30,"[14, 15, 18, 21, 22, 25, 26, 40, 41, 48, 51, 52, 53, 54, 55, 56, 58, 59, 60, 73, 74, 75, 78, 79, 80, 81, 82, 83, 85, 86]"
106,21190402,257.54663599806383,-2.80168417211778,1,[91]
107,41232189,140.5902289819786,-89.19105642526004,30,"[3, 6, 9, 10, 13, 27, 29, 30, 32, 33, 36, 37, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88, 89, 90, 93, 94, 95, 96]"
108,41331819,251.05209325289823,-87.57201684942736,35,"[1, 3, 4, 6, 7, 8, 9, 10, 11, 13, 27, 28, 30, 31, 33, 34, 36, 37, 38, 39, 61, 62, 63, 64, 66, 67, 68, 69, 87, 89, 90, 93, 94, 95, 96]"
109,41318863,317.5220015831991,55.14620303238365,8,"[14, 15, 41, 54, 55, 75, 81, 82]"
