,TIC,sec,ec_long,ec_lat,num_s
7510,176648937,16,15.674364996801183,41.96780994113639,4
7511,176648937,17,15.674364996801183,41.96780994113639,4
7512,176648937,57,15.674364996801183,41.96780994113639,4
7513,176648937,84,15.674364996801183,41.96780994113639,4
7514,176654531,8,151.73737490381538,-33.83913542087405,4
7515,176654531,35,151.73737490381538,-33.83913542087405,4
7516,176654531,62,151.73737490381538,-33.83913542087405,4
7517,176654531,89,151.73737490381538,-33.83913542087405,4
7518,176640151,16,14.812364990488868,41.1244321592963,3
7519,176640151,57,14.812364990488868,41.1244321592963,3
7520,176640151,84,14.812364990488868,41.1244321592963,3
7521,176659584,8,151.25438865368227,-32.270380612584,4
7522,176659584,35,151.25438865368227,-32.270380612584,4
7523,176659584,62,151.25438865368227,-32.270380612584,4
7524,176659584,89,151.25438865368227,-32.270380612584,4
7525,176759633,6,87.91345399431549,-25.711095346150557,3
7526,176759633,33,87.91345399431549,-25.711095346150557,3
7527,176759633,87,87.91345399431549,-25.711095346150557,3
7528,176780031,4,30.749043178380013,-51.1539857572949,3
7529,176780031,30,30.749043178380013,-51.1539857572949,3
7530,176780031,31,30.749043178380013,-51.1539857572949,3
7531,176791985,17,18.171190060814066,43.519636798117936,1
7532,176841012,4,34.79657466812993,-46.730982456401584,2
7533,176841012,31,34.79657466812993,-46.730982456401584,2
7534,176848605,8,152.79124161114188,-32.01272908007555,4
7535,176848605,35,152.79124161114188,-32.01272908007555,4
7536,176848605,62,152.79124161114188,-32.01272908007555,4
7537,176848605,89,152.79124161114188,-32.01272908007555,4
7538,176832633,4,31.95200934257482,-51.22377954439409,3
7539,176832633,30,31.95200934257482,-51.22377954439409,3
7540,176832633,31,31.95200934257482,-51.22377954439409,3
7541,102717680,19,75.74306501039351,46.290220709933536,5
7542,102717680,26,75.74306501039351,46.290220709933536,5
7543,102717680,59,75.74306501039351,46.290220709933536,5
7544,102717680,73,75.74306501039351,46.290220709933536,5
7545,102717680,86,75.74306501039351,46.290220709933536,5
7546,102718782,19,76.14550831100678,47.4245651736186,6
7547,102718782,25,76.14550831100678,47.4245651736186,6
7548,102718782,26,76.14550831100678,47.4245651736186,6
7549,102718782,52,76.14550831100678,47.4245651736186,6
7550,102718782,73,76.14550831100678,47.4245651736186,6
7551,102718782,86,76.14550831100678,47.4245651736186,6
7552,127370064,16,9.048720875093078,38.33446736415803,4
7553,127370064,57,9.048720875093078,38.33446736415803,4
7554,127370064,83,9.048720875093078,38.33446736415803,4
7555,127370064,84,9.048720875093078,38.33446736415803,4
7556,127442482,11,229.88853953406942,-27.452679616585225,3
7557,127442482,38,229.88853953406942,-27.452679616585225,3
7558,127442482,65,229.88853953406942,-27.452679616585225,3
7559,127499234,7,125.59919364984319,-44.7295296584603,4
7560,127499234,34,125.59919364984319,-44.7295296584603,4
7561,127499234,61,125.59919364984319,-44.7295296584603,4
7562,127499234,88,125.59919364984319,-44.7295296584603,4
7563,151897383,12,260.93819640877155,-12.654927664806284,4
7564,151897383,39,260.93819640877155,-12.654927664806284,4
7565,151897383,66,260.93819640877155,-12.654927664806284,4
7566,151897383,93,260.93819640877155,-12.654927664806284,4
