,TIC,ec_long,ec_lat,num_s,sec
1037,91029488,0.48403068635191154,26.96106522518554,2,"[56, 83]"
1038,12377940,348.3777794914836,-27.073521752636374,6,"[2, 29, 69, 96, 106, 107]"
1039,12395998,350.9584278189666,-23.859430787033315,5,"[2, 29, 69, 96, 107]"
1040,12339621,307.03605276347406,43.93953038017465,6,"[14, 41, 54, 81, 119, 120]"
1041,32176627,323.85333539256214,-15.533636429503387,5,"[1, 28, 68, 95, 106]"
1042,32199952,324.28076637427097,-15.850728453058867,5,"[1, 28, 68, 95, 106]"
1043,32224608,267.19288037515656,-24.312726394075046,4,"[39, 66, 93, 104]"
1044,32296140,121.8746689451765,-31.651299933139935,6,"[7, 34, 61, 88, 111, 112]"
1045,52521684,47.19176614409619,49.794919616684766,5,"[18, 24, 25, 58, 85]"
1046,52526952,48.76036458851357,51.085210846240145,5,"[18, 24, 25, 78, 85]"
1047,52552168,99.84801066250009,-25.378972765586333,2,"[6, 87]"
1048,52593512,84.48111973064718,-6.289388656835857,7,"[6, 43, 44, 45, 71, 72, 98]"
1049,71500544,304.3797428178308,11.957128073964851,3,"[54, 81, 92]"
1050,71585429,170.97193499840276,-37.00930474512625,10,"[9, 36, 62, 63, 89, 99, 100, 110, 112, 113]"
1051,71593460,108.55717263405224,44.90822339156361,4,"[20, 47, 60, 74]"
1052,91194497,300.7443242298902,-25.68085213340229,4,"[27, 67, 94, 105]"
1053,91277922,33.090762662056434,8.501219129884142,5,"[17, 42, 43, 70, 71]"
1054,12513468,252.75974816345686,6.03994804408334,4,"[91, 115, 116, 117]"
1055,12514017,252.6087282768594,6.3955232189892115,4,"[91, 115, 116, 117]"
1056,12515279,252.57808995754596,7.454763158144925,4,"[91, 115, 116, 117]"
1057,12468450,308.12137088085734,46.33561323774515,5,"[41, 54, 81, 119, 120]"
1058,12505193,321.28785466617893,54.44766300013339,7,"[14, 15, 41, 55, 75, 82, 120]"
1059,32326446,267.126140421522,-22.641390002224142,4,"[39, 66, 93, 104]"
1060,32413887,234.47042444237135,10.39371001898339,3,"[51, 91, 117]"
1061,52694280,244.72672380818534,6.335409264599714,4,"[91, 115, 116, 117]"
1062,52687259,106.76103037004711,-54.576013307419664,8,"[6, 7, 33, 34, 87, 108, 109, 110]"
1063,52758630,107.68625115016985,-56.97447656070256,8,"[6, 7, 33, 34, 87, 108, 109, 110]"
1064,71659331,306.3961106123543,50.90866213323474,8,"[14, 41, 54, 74, 75, 81, 119, 120]"
1065,71704392,192.641858093268,-47.63695465388015,11,"[10, 36, 37, 63, 90, 99, 100, 111, 112, 113, 114]"
1066,71735726,189.17244997062355,-44.05045843781742,10,"[9, 10, 36, 37, 63, 90, 99, 112, 113, 114]"
1067,91329512,33.18087827586875,7.161884147345278,5,"[17, 42, 43, 70, 71]"
