#
#  Times of cadences affected by momentum dumps
#  Created Thu Oct  9 00:03:05 EDT 2025 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2018-08-23 14:19:41.477317 UTC, 1354.09780857, 1219069200.0, 91183, 6078
2018-08-23 14:21:41.477269 UTC, 1354.09919745, 1219069320.0, 91184, 6078
2018-08-23 14:23:41.477220 UTC, 1354.10058634, 1219069440.0, 91185, 6078
2018-08-23 14:25:41.477172 UTC, 1354.10197523, 1219069560.0, 91186, 6078
2018-08-23 14:27:41.477124 UTC, 1354.10336412, 1219069680.0, 91187, 6078
2018-08-23 14:29:41.477076 UTC, 1354.10475301, 1219069800.0, 91188, 6079
2018-08-23 14:31:41.477027 UTC, 1354.10614190, 1219069920.0, 91189, 6079
2018-08-23 14:33:41.476979 UTC, 1354.10753078, 1219070040.0, 91190, 6079
2018-08-26 03:03:41.389408 UTC, 1356.62836310, 1219287840.0, 93005, 6200
2018-08-26 03:05:41.389360 UTC, 1356.62975199, 1219287960.0, 93006, 6200
2018-08-26 03:07:41.389311 UTC, 1356.63114088, 1219288080.0, 93007, 6200
2018-08-26 03:09:41.389263 UTC, 1356.63252977, 1219288200.0, 93008, 6200
2018-08-26 03:11:41.389215 UTC, 1356.63391866, 1219288320.0, 93009, 6200
2018-08-26 03:13:41.389167 UTC, 1356.63530755, 1219288440.0, 93010, 6200
2018-08-26 03:15:41.389118 UTC, 1356.63669643, 1219288560.0, 93011, 6200
2018-08-26 03:17:41.389070 UTC, 1356.63808532, 1219288680.0, 93012, 6200
2018-08-28 15:03:41.302560 UTC, 1359.12836210, 1219503840.0, 94805, 6320
2018-08-28 15:05:41.302512 UTC, 1359.12975099, 1219503960.0, 94806, 6320
2018-08-28 15:07:41.302464 UTC, 1359.13113987, 1219504080.0, 94807, 6320
2018-08-28 15:09:41.302416 UTC, 1359.13252876, 1219504200.0, 94808, 6320
2018-08-28 15:11:41.302367 UTC, 1359.13391765, 1219504320.0, 94809, 6320
2018-08-28 15:13:41.302319 UTC, 1359.13530654, 1219504440.0, 94810, 6320
2018-08-28 15:15:41.302271 UTC, 1359.13669543, 1219504560.0, 94811, 6320
